,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1201,2023-01-10 07:00:00,17206.9,17191.67,17202.57,695.96,11970674.09,17200.24,direct,
1202,2023-01-10 08:00:00,17261.11,17188.98,17200.24,2079.53,35840169.26,17255.64,direct,
1203,2023-01-10 09:00:00,17271.45,17243.93,17255.64,1235.57,21321859.98,17247.65,direct,
1204,2023-01-10 10:00:00,17272.44,17236.14,17247.65,881.64,15214327.42,17269.94,direct,
1205,2023-01-10 11:00:00,17279.73,17253.41,17269.94,1775.93,30661863.76,17255.01,direct,
1206,2023-01-10 12:00:00,17257.88,17220.93,17255.01,1813.56,31263206.85,17223.3,direct,
1207,2023-01-10 13:00:00,17250.64,17213.61,17223.3,1725.47,29734186.54,17245.16,direct,
1208,2023-01-10 14:00:00,17312.52,17225.55,17245.16,6547.92,113087095.99,17286.64,direct,
1209,2023-01-10 15:00:00,17369.98,17274.95,17286.64,6972.57,120742936.0,17327.99,direct,
1210,2023-01-10 16:00:00,17339.96,17285.93,17327.99,3090.38,53517621.64,17307.29,direct,
1211,2023-01-10 17:00:00,17336.56,17291.84,17307.29,1933.69,33482095.57,17327.02,direct,
1212,2023-01-10 18:00:00,17433.79,17325.64,17327.02,4707.74,81867032.51,17425.77,direct,
1213,2023-01-10 19:00:00,17449.69,17402.98,17425.77,3279.49,57154473.16,17427.28,direct,
1214,2023-01-10 20:00:00,17484.36,17406.4,17427.28,4096.98,71507134.09,17471.17,direct,
1215,2023-01-10 21:00:00,17484.2,17449.75,17471.17,2323.16,40569534.14,17469.26,direct,
1216,2023-01-10 22:00:00,17469.27,17424.75,17469.26,2188.0,38158997.25,17434.99,direct,
1217,2023-01-10 23:00:00,17444.97,17411.27,17434.99,2136.41,37227714.94,17442.44,direct,
1218,2023-01-11 00:00:00,17490.64,17432.92,17442.44,2188.94,38215756.88,17466.0,direct,
1219,2023-01-11 01:00:00,17501.11,17440.05,17466.0,2162.68,37782856.3,17459.04,direct,
1220,2023-01-11 02:00:00,17460.79,17392.89,17459.04,1761.76,30695237.83,17394.31,direct,
1221,2023-01-11 03:00:00,17421.17,17372.58,17394.31,1459.51,25390065.73,17416.86,direct,
1222,2023-01-11 04:00:00,17424.14,17396.94,17416.86,833.91,14518510.77,17410.33,direct,
1223,2023-01-11 05:00:00,17434.6,17401.89,17410.33,1326.8,23112346.82,17408.41,direct,
1224,2023-01-11 06:00:00,17441.83,17392.37,17408.41,1744.32,30388743.39,17438.4,direct,
1225,2023-01-11 07:00:00,17458.44,17432.5,17438.4,1527.4,26646340.22,17446.82,direct,
1226,2023-01-11 08:00:00,17448.51,17415.51,17446.82,1163.92,20286813.71,17447.77,direct,
1227,2023-01-11 09:00:00,17468.62,17442.2,17447.77,1091.41,19050657.2,17444.85,direct,
1228,2023-01-11 10:00:00,17457.87,17436.44,17444.85,741.61,12939682.87,17439.58,direct,
1229,2023-01-11 11:00:00,17452.37,17429.61,17439.58,750.27,13082799.95,17437.41,direct,
1230,2023-01-11 12:00:00,17437.42,17405.9,17437.41,1376.33,23973898.26,17418.15,direct,
1231,2023-01-11 13:00:00,17433.03,17388.64,17418.15,2032.7,35386708.5,17414.48,direct,
1232,2023-01-11 14:00:00,17431.77,17381.34,17414.48,3010.88,52396522.27,17413.28,direct,
1233,2023-01-11 15:00:00,17434.39,17324.71,17413.28,5178.22,89961969.88,17332.61,direct,
1234,2023-01-11 16:00:00,17367.83,17330.18,17332.61,2130.1,36957047.46,17350.17,direct,
1235,2023-01-11 17:00:00,17391.76,17346.84,17350.17,1676.63,29138262.45,17384.89,direct,
1236,2023-01-11 18:00:00,17526.16,17384.49,17384.89,7303.75,127679954.98,17484.42,direct,
1237,2023-01-11 19:00:00,17551.19,17472.88,17484.42,4066.04,71248106.77,17548.36,direct,
1238,2023-01-11 20:00:00,17574.82,17513.23,17548.36,3440.81,60346606.64,17553.79,direct,
1239,2023-01-11 21:00:00,17568.52,17532.79,17553.79,2121.57,37239126.33,17558.62,direct,
1240,2023-01-11 22:00:00,17589.63,17521.37,17558.62,3756.16,65943380.79,17565.72,direct,
1241,2023-01-11 23:00:00,17986.45,17554.33,17565.72,10725.98,190952974.51,17938.0,direct,
1242,2023-01-12 00:00:00,18246.83,17906.4,17938.0,8849.35,159290506.6,18235.49,direct,
1243,2023-01-12 01:00:00,18278.52,18143.02,18235.49,5589.2,101703829.55,18234.83,direct,
1244,2023-01-12 02:00:00,18334.88,18186.5,18234.83,4775.88,87180239.24,18199.16,direct,
1245,2023-01-12 03:00:00,18234.88,18196.58,18199.16,2352.68,42861574.06,18223.81,direct,
1246,2023-01-12 04:00:00,18227.98,18195.09,18223.81,2078.55,37862263.71,18217.1,direct,
1247,2023-01-12 05:00:00,18234.41,18083.97,18217.1,2556.77,46427529.32,18086.05,direct,
1248,2023-01-12 06:00:00,18159.56,18084.54,18086.05,1997.46,36208568.68,18148.26,direct,
1249,2023-01-12 07:00:00,18175.75,18116.84,18148.26,1973.58,35806003.76,18135.44,direct,
1250,2023-01-12 08:00:00,18144.84,18070.41,18135.44,2631.35,47654587.8,18143.42,direct,
1251,2023-01-12 09:00:00,18171.7,18131.09,18143.42,2119.37,38466464.63,18164.44,direct,
1252,2023-01-12 10:00:00,18207.45,18145.58,18164.44,2336.13,42456755.74,18183.85,direct,
1253,2023-01-12 11:00:00,18214.58,18166.87,18183.85,2408.52,43803784.51,18202.11,direct,
1254,2023-01-12 12:00:00,18271.35,18182.94,18202.11,3744.71,68232835.25,18266.67,direct,
1255,2023-01-12 13:00:00,18325.78,18029.04,18266.67,12968.79,235902986.55,18293.63,direct,
1256,2023-01-12 14:00:00,18347.9,17940.56,18293.63,11798.04,213960349.62,17996.32,direct,
1257,2023-01-12 15:00:00,18130.44,17989.67,17996.32,6695.96,121103614.37,18096.11,direct,
1258,2023-01-12 16:00:00,18143.08,18059.29,18096.11,4239.97,76763525.29,18133.5,direct,
1259,2023-01-12 17:00:00,18831.72,18111.2,18133.5,11145.64,206502395.62,18824.84,direct,
1260,2023-01-12 18:00:00,18952.71,18626.19,18824.84,9663.14,181491031.59,18800.6,direct,
1261,2023-01-12 19:00:00,19035.37,18769.83,18800.6,8109.69,153242433.58,18886.21,direct,
1262,2023-01-12 20:00:00,19065.71,18831.9,18886.21,4701.79,89039448.43,19062.55,direct,
1263,2023-01-12 21:00:00,19092.31,18770.51,19062.55,5504.97,103878547.77,18834.66,direct,
1264,2023-01-12 22:00:00,18927.86,18793.26,18834.66,2127.57,40096874.5,18915.74,direct,
1265,2023-01-12 23:00:00,18915.74,18848.94,18915.74,2275.65,42961395.45,18849.0,direct,
1266,2023-01-13 00:00:00,18884.97,18717.45,18849.0,3512.98,66052683.45,18771.68,direct,
1267,2023-01-13 01:00:00,18816.61,18748.03,18771.68,1795.22,33724304.54,18808.44,direct,
1268,2023-01-13 02:00:00,18838.36,18790.37,18808.44,1345.01,25304641.62,18835.18,direct,
1269,2023-01-13 03:00:00,18878.96,18824.85,18835.18,1469.12,27686324.11,18876.25,direct,
1270,2023-01-13 04:00:00,18878.53,18829.72,18876.25,1224.6,23094303.85,18830.33,direct,
1271,2023-01-13 05:00:00,18832.68,18783.14,18830.33,1210.89,22777945.79,18786.66,direct,
1272,2023-01-13 06:00:00,18861.29,18783.62,18786.66,1007.4,18964130.75,18853.16,direct,
1273,2023-01-13 07:00:00,18855.2,18789.21,18853.16,1423.3,26784165.12,18824.44,direct,
1274,2023-01-13 08:00:00,18855.9,18812.61,18824.44,1155.56,21766254.26,18841.12,direct,
1275,2023-01-13 09:00:00,18930.88,18840.03,18841.12,2293.42,43314870.47,18914.89,direct,
1276,2023-01-13 10:00:00,19046.37,18869.23,18914.89,4532.25,85923128.81,19042.7,direct,
1277,2023-01-13 11:00:00,19044.59,18892.84,19042.7,3042.42,57682212.99,18922.01,direct,
1278,2023-01-13 12:00:00,18932.42,18816.1,18922.01,3202.93,60490029.29,18856.5,direct,
1279,2023-01-13 13:00:00,18899.35,18814.08,18856.5,2478.5,46759908.56,18855.39,direct,
1280,2023-01-13 14:00:00,19122.42,18836.17,18855.39,5585.23,105960426.0,19005.19,direct,
1281,2023-01-13 15:00:00,19303.24,18995.5,19005.19,11810.31,226540829.8,19264.96,direct,
1282,2023-01-13 16:00:00,19275.57,19069.55,19264.96,5353.32,102482091.67,19132.72,direct,
1283,2023-01-13 17:00:00,19383.7,19109.76,19132.72,6357.93,122575277.61,19254.8,direct,
1284,2023-01-13 18:00:00,19377.47,19254.8,19254.8,3970.04,76656598.9,19298.3,direct,
1285,2023-01-13 19:00:00,19371.37,19251.86,19298.3,3901.23,75314398.3,19360.7,direct,
1286,2023-01-13 20:00:00,19492.17,19323.24,19360.7,5951.49,115482992.64,19476.48,direct,
1287,2023-01-13 21:00:00,19891.14,19382.19,19476.48,9894.98,194322029.81,19813.29,direct,
1288,2023-01-13 22:00:00,19992.23,19797.98,19813.29,7623.68,151760936.52,19854.8,direct,
1289,2023-01-13 23:00:00,19943.09,19746.35,19854.8,4469.59,88726084.73,19932.05,direct,
1290,2023-01-14 00:00:00,21255.15,19895.77,19932.05,18164.91,373731825.15,20906.98,direct,
1291,2023-01-14 01:00:00,21080.93,20707.81,20906.98,7484.87,156372823.83,20934.72,direct,
1292,2023-01-14 02:00:00,21044.04,20840.86,20934.72,6571.41,137697806.05,20938.72,direct,
1293,2023-01-14 03:00:00,20982.8,20792.13,20938.72,4305.97,90015058.33,20969.42,direct,
1294,2023-01-14 04:00:00,21016.08,20887.99,20969.42,2764.16,57885002.98,20900.0,direct,
1295,2023-01-14 05:00:00,20914.12,20786.62,20900.0,3019.49,62962397.77,20842.26,direct,
1296,2023-01-14 06:00:00,20969.34,20841.85,20842.26,2103.73,44008172.95,20957.06,direct,
1297,2023-01-14 07:00:00,20966.99,20855.37,20957.06,1636.94,34241006.58,20904.15,direct,
1298,2023-01-14 08:00:00,21019.84,20881.48,20904.15,1770.58,37119535.9,21005.14,direct,
1299,2023-01-14 09:00:00,21008.89,20321.86,21005.14,8213.4,168965708.82,20529.73,direct,
1300,2023-01-14 10:00:00,20530.08,20250.72,20529.73,5156.9,105192146.12,20502.31,direct,
1301,2023-01-14 11:00:00,20745.63,20482.61,20502.31,3700.5,76470651.85,20727.83,direct,
1302,2023-01-14 12:00:00,20961.63,20588.17,20727.83,4267.97,88811290.12,20909.87,direct,
1303,2023-01-14 13:00:00,20960.88,20793.57,20909.87,3647.44,76183885.81,20936.9,direct,
1304,2023-01-14 14:00:00,21152.87,20629.45,20936.9,7253.02,151500487.1,20828.42,direct,
1305,2023-01-14 15:00:00,20886.51,20662.77,20828.42,4993.03,103759386.9,20788.83,direct,
1306,2023-01-14 16:00:00,20861.55,20757.02,20788.83,3577.13,74429038.89,20807.51,direct,
1307,2023-01-14 17:00:00,20890.36,20736.24,20807.51,3456.78,72009827.66,20760.28,direct,
1308,2023-01-14 18:00:00,20797.86,20664.85,20760.28,3151.41,65329322.08,20759.11,direct,
1309,2023-01-14 19:00:00,20854.14,20727.56,20759.11,2471.99,51390230.89,20793.74,direct,
1310,2023-01-14 20:00:00,20893.15,20763.48,20793.74,2078.83,43285241.36,20879.01,direct,
1311,2023-01-14 21:00:00,20939.19,20834.19,20879.01,2855.91,59672426.01,20902.61,direct,
1312,2023-01-14 22:00:00,21009.33,20866.37,20902.61,1504.31,31483660.14,20992.55,direct,
1313,2023-01-14 23:00:00,21069.32,20947.87,20992.55,2922.72,61421974.81,20954.52,direct,
1314,2023-01-15 00:00:00,21000.48,20647.8,20954.52,4120.03,85658829.67,20767.18,direct,
1315,2023-01-15 01:00:00,20787.51,20656.36,20767.18,2175.52,45088448.3,20774.59,direct,
1316,2023-01-15 02:00:00,20812.0,20670.98,20774.59,1909.54,39599636.85,20676.12,direct,
1317,2023-01-15 03:00:00,20742.2,20575.44,20676.12,2551.18,52693011.83,20723.71,direct,
1318,2023-01-15 04:00:00,20756.41,20685.02,20723.71,1171.78,24279354.95,20700.4,direct,
